-2.5,1.1075
-2.45,1.1052
-2.4,1.1026
-2.35,1.0998
-2.3,1.0968
-2.25,1.0935
-2.2,1.0898
-2.15,1.0859
-2.1,1.0814
-2.05,1.0766
-2,1.0711
-1.95,1.0651
-1.9,1.0583
-1.85,1.0506
-1.8,1.0418
-1.75,1.0318
-1.7,1.0204
-1.65,1.0071
-1.6,0.99157
-1.55,0.97341
-1.5,0.95198
-1.45,0.9266
-1.4,0.89644
-1.35,0.85993
-1.3,0.81772
-1.25,0.76885
-1.2,0.71388
-1.15,0.65459
-1.1,0.59411
-1.05,0.53619
-1,0.48406
-0.95,0.43938
-0.9,0.40222
-0.85,0.37161
-0.8,0.3463
-0.75,0.32514
-0.7,0.30721
-0.65,0.29182
-0.6,0.27845
-0.55,0.26671
-0.5,0.25632
-0.45,0.24724
-0.4,0.23888
-0.35,0.23133
-0.3,0.22447
-0.25,0.21823
-0.2,0.21253
-0.15,0.20733
-0.1,0.20259
-0.05,0.19828
0,0.19439
0.05,0.19091
0.1,0.18788
0.15,0.1853
0.2,0.18321
0.25,0.1816
0.3,0.18041
0.35,0.17951
0.4,0.17886
0.45,0.17835
0.5,0.17793
0.55,0.17755
0.6,0.17717
0.65,0.17711
0.7,0.17691
0.75,0.17674
0.8,0.1766
0.85,0.17647
0.9,0.17636
0.95,0.17625
1,0.17616
1.05,0.17608
1.1,0.17601
1.15,0.17594
1.2,0.17588
1.25,0.17582
1.3,0.17576
1.35,0.17572
1.4,0.17567
1.45,0.17563
1.5,0.17559
1.55,0.17555
1.6,0.17552
1.65,0.17548
1.7,0.17545
1.75,0.17543
1.8,0.1754
1.85,0.17537
1.9,0.17535
1.95,0.17532
2,0.1753
2.05,0.17528
2.1,0.17526
2.15,0.17524
2.2,0.17522
2.25,0.17521
2.3,0.17519
2.35,0.17517
2.4,0.17516
2.45,0.17514
2.5,0.17513
